 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          1001c6b2 [unknown] (/samples/vt_pau.dll) =>         1001c6d2 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          1001c6d9 [unknown] (/samples/vt_pau.dll) =>         1001c6e0 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          1001c6f0 [unknown] (/samples/vt_pau.dll) =>         10063ed6 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10063eff [unknown] (/samples/vt_pau.dll) =>         100653b4 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          100653e6 [unknown] (/samples/vt_pau.dll) =>         100653f5 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065415 [unknown] (/samples/vt_pau.dll) =>         10065419 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065430 [unknown] (/samples/vt_pau.dll) =>         10065437 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          1006544f [unknown] (/samples/vt_pau.dll) =>         10065b19 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065b24 [unknown] (/samples/vt_pau.dll) =>         100653e8 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065415 [unknown] (/samples/vt_pau.dll) =>         10065419 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065430 [unknown] (/samples/vt_pau.dll) =>         100655ac [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          100655b2 [unknown] (/samples/vt_pau.dll) =>         100657f0 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          1006580f [unknown] (/samples/vt_pau.dll) =>         100655f5 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          100655fe [unknown] (/samples/vt_pau.dll) =>         10065603 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065607 [unknown] (/samples/vt_pau.dll) =>         10065bf0 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065bfc [unknown] (/samples/vt_pau.dll) =>         1006560c [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065618 [unknown] (/samples/vt_pau.dll) =>         10065838 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          1006583a [unknown] (/samples/vt_pau.dll) =>         10065845 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
